,name,series,long,lat,localx,localy,vhas,number,geometry
380430,IMC_695000,265639042,2.94687931491689,51.2132629682818,50650.0,212429.0,6021226,0,POINT (2.94687931491689 51.2132629682818)
380432,IMC_860000,265719042,2.9654869739724,51.1704316713386,51860.0,207640.0,6021185,1,POINT (2.9654869739724 51.1704316713386)
385241,IMC_GMN017,271054042,2.773179,51.138801,38336.99,204393.31,7051520,2,POINT (2.773179 51.138801)
367677,BWO518_01_IOW10,256775042,2.7723079999999998,51.13756,38273.08,204256.59,7031223,3,POINT (2.7723079999999998 51.13756)
385249,IMC_GMN018,271059042,2.7707829999999998,51.13648,38163.78,204138.76,6033467,4,POINT (2.7707829999999998 51.13648)
380431,IMC_856500,265699042,2.75758723550725,51.136311822148,37240.0,204140.0,7051520,5,POINT (2.75758723550725 51.136311822148)
385257,IMC_GMN019,271089042,2.769732,51.135131,38087.01,203990.3,6033467,6,POINT (2.769732 51.135131)
385175,IMC_GMN015,270996042,2.760244,51.134566,37421.7,203941.79,6033677,7,POINT (2.760244 51.134566)
389611,IMC_GMN024,274470042,2.778761,51.133382,38714.67,203782.2,6033615,8,POINT (2.778761 51.133382)
385265,IMC_GMN020,271111042,2.778769,51.133342999999996,38715.14,203777.85,6033615,9,POINT (2.778769 51.133342999999996)
366723,BWO186_01,255679042,2.801495,51.127193,40291.08,203060.01,6033616,10,POINT (2.801495 51.127193)
381128,BWO_DWG_CTD_Ijzer_IOW15,278457042,2.801997831,51.12717843,40326.24,203057.64,6033616,11,POINT (2.801997831 51.12717843)
383633,IMC_910000,269181042,2.801534,51.12715,40293.7118838658,203055.166544589,6033616,12,POINT (2.801534 51.12715)
380417,IMC_676000,265379042,2.76741198605695,51.1248473873617,37900.0,202850.0,6018926,13,POINT (2.76741198605695 51.1248473873617)
381142,BWO_DWG_CTD_Ijzer_IOW16,278463042,2.822384657,51.09877138,41687.34,199868.14,6033616,14,POINT (2.822384657 51.09877138)
380420,IMC_679030,265439042,2.75509278266414,51.0885362071518,36950.0,198830.0,6019217,15,POINT (2.75509278266414 51.0885362071518)
381156,BWO_DWG_CTD_Ijzer_IOW17,278469042,2.852631333,51.0842249,43772.59,198206.52,6033616,16,POINT (2.852631333 51.0842249)
380437,IMC_910040,265819042,2.84090669513434,51.0806344586246,42943.0,197824.0,6033616,17,POINT (2.84090669513434 51.0806344586246)
354639,ARW01_194_IOW9,244681042,2.66837831458149,51.0712594579494,30832.0,197044.000001,6033652,18,POINT (2.66837831458149 51.0712594579494)
381170,BWO_DWG_CTD_Ijzer_IOW18,278475042,2.853353883,51.03874521,43720.0,193147.01,7058471,19,POINT (2.853353883 51.03874521)
381184,BWO_DWG_CTD_Ijzer_IOW19,278481042,2.854459744,51.03321207,43785.0,192530.01,6033639,20,POINT (2.854459744 51.03321207)
390158,BWO_DWG_CTD_Noordkantvaart_IOW27,278511042,2.846559955,51.00023802,43155.81,188873.85,6012128,21,POINT (2.846559955 51.00023802)
390150,BWO_DWG_CTD_Stenensluisvaart_IOW26,278528042,2.8357182400000003,50.99484626,42382.55,188289.82,6012105,22,POINT (2.8357182400000003 50.99484626)
371230,BWO_DWG_Exo_Blankaart,278534042,2.84377,50.99241,42942.13,188007.22,7065642,23,POINT (2.84377 50.99241)
371954,BWO_DWG_Exo_Ijzer_IOW3,278541042,2.81715,50.99124,41070.89,187915.79,6033627,24,POINT (2.81715 50.99124)
381198,BWO_DWG_CTD_Ijzer_IOW20,278487042,2.806237114,50.98189063,40283.0,186892.01,6033644,25,POINT (2.806237114 50.98189063)
354659,ARW01_183_IOW2,244772042,2.814809,50.96967,40856.38,185520.19,7074396,26,POINT (2.814809 50.96967)
381212,BWO_DWG_CTD_Ijzer_IOW21,278493042,2.780061285,50.95950258,38392.0,184441.01,6033491,27,POINT (2.780061285 50.95950258)
380438,IMC_GMN001,265859042,2.735656,50.958686,35270.96,184417.84,6033602,28,POINT (2.735656 50.958686)
382061,IMM0006_IOW12,268036042,2.735652,50.958602,35270.48,184408.5,6033602,29,POINT (2.735652 50.958602)
359673,ARW01_182_IOW1,247361042,2.826093,50.957459,41620.6,184145.56,6033646,30,POINT (2.826093 50.957459)
359708,ARW01_519_IOW4,247569042,2.734288,50.956256,35168.93,184149.69,6033487,31,POINT (2.734288 50.956256)
381240,BWO_DWG_CTD_Poperingevaart_IOW23,278517042,2.71632529,50.94701434,33884.28,183149.79,6016315,32,POINT (2.71632529 50.94701434)
381226,BWO_DWG_CTD_Ijzer_IOW22,278442042,2.672133672,50.94328478,30770.0,182805.01,6033571,33,POINT (2.672133672 50.94328478)
369814,BWO520_01_IOW5,258403042,2.62308457756705,50.9204468133002,27264.0,180345.0,6033592,34,POINT (2.62308457756705 50.9204468133002)
398575,IMM0085,285021042,2.849887,50.909781,43183.5742420211,178808.351058874,6042600,35,POINT (2.849887 50.909781)
385920,IMC_IOW39,271529042,2.849079192,50.90943332,43125.9808896152,178770.845038942,7010201,36,POINT (2.849079192 50.90943332)
385919,IMC_IOW38,271505042,2.861366989,50.89630769,43960.3983248947,177293.410656917,7073733,37,POINT (2.861366989 50.89630769)
398557,IMM0084,284953042,2.865341,50.89439,44235.6013378615,177074.460015859,6042600,38,POINT (2.865341 50.89439)
398529,IMM0083,284885042,2.867523,50.89306,44386.0934531611,176923.433709485,6042697,39,POINT (2.867523 50.89306)
398276,IMM0082,284581042,2.872309,50.874778,44681.7851105459,174883.328408428,6042697,40,POINT (2.872309 50.874778)
398441,IMM0081,284817042,2.884012,50.85939,45471.1096599784,173155.361264424,6031906,41,POINT (2.884012 50.85939)
